Project Code,PQ #,Country,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD),Scheduled_Delivery_Date_D,Scheduled_Delivery_Date_M,Scheduled_Delivery_Date_Y,Delivered_to_Client_Date_D,Delivered_to_Client_Date_M,Delivered_to_Client_Date_Y
32,453,16,1,3,0,352,0,1,16,55,28,0,33,7,30,103,626.24,6.08,0.2,4,1072.0,5636.3,0.88,16.0,9,12.0,14.0,8,12.0
30,672,7,1,3,1,471,0,1,16,23,0,0,20,1,60,10059,21928.62,2.18,0.04,12,632.0,2643.5,25.81,17.0,7,15.0,31.0,3,15.0
36,607,1,1,3,0,436,0,1,16,21,17,0,3,1,60,3000,49320.0,16.44,0.27,4,342.0,1419.84,106.33,19.0,2,10.0,8.0,2,10.0
23,165,0,0,1,0,150,0,1,1,1,1,1,1,1,120,1785,146727.0,82.2,0.68,1,266.0,6937.66,316.34,21.0,4,10.0,21.0,4,10.0
34,467,12,1,3,1,155,0,1,16,71,11,0,10,7,30,190000,2857600.0,15.04,0.5,4,21534.0,13914.56,4006.36,30.0,5,12.0,30.0,5,12.0
29,386,4,1,3,0,314,0,0,16,40,17,0,24,9,240,400,5856.0,14.64,0.06,0,146.0,5254.09,11.48,8.0,7,10.0,23.0,3,10.0
7,0,6,1,3,0,0,0,1,16,1,1,1,1,1,120,600,24660.0,41.1,0.34,11,859.0,5531.4,39.46,29.0,7,8.0,29.0,10,8.0
29,634,4,1,3,1,453,0,1,16,5,5,0,4,1,30,34760,132435.6,3.81,0.13,0,3367.0,12589.74,185.67,28.0,6,12.0,10.0,6,12.0
30,432,7,1,3,1,337,0,1,16,14,13,0,12,7,60,32000,264320.0,8.26,0.14,0,3026.0,14406.99,436.13,5.0,1,11.0,24.0,1,11.0
26,8,14,0,4,0,8,0,1,8,7,3,0,3,1,30,51828,405294.96,7.82,0.26,10,3543.0,3646.13,873.82,13.0,0,10.0,17.0,2,10.0
22,732,3,1,3,0,153,0,1,16,55,28,0,33,7,30,55851,256356.09,4.59,0.15,12,6183.0,47281.56,301.73,30.0,4,15.0,22.0,4,15.0
30,238,7,0,2,0,209,0,1,7,86,36,18,6,1,60,231,21136.5,91.5,1.52,8,23.0,250.0,34.88,14.0,7,12.0,14.0,10,12.0
22,660,3,1,3,2,463,0,0,16,69,13,0,36,7,60,11605,24950.75,2.15,0.04,4,935.0,49199.75,30.86,31.0,3,14.0,10.0,3,14.0
26,5,14,0,4,3,6,0,1,8,23,0,0,20,1,60,35364,96190.08,2.72,0.05,10,3793.0,8527.45,158.71,13.0,11,11.0,30.0,3,12.0
24,94,5,0,1,0,90,0,0,1,16,1,7,14,9,300,100,3082.0,30.82,0.1,11,164.0,2419.33,3.81,4.0,4,13.0,4.0,4,13.0
22,401,3,1,3,2,320,0,1,16,71,11,0,10,7,30,11040,219916.8,19.92,0.66,4,1210.0,9736.1,474.14,31.0,10,10.0,18.0,9,10.0
30,624,7,1,3,1,447,0,1,16,23,0,0,20,1,60,19705,50838.9,2.58,0.04,15,1095.0,4405.24,83.88,19.0,9,12.0,15.0,10,12.0
22,558,3,1,3,2,411,0,0,16,27,18,0,22,11,60,10383,19727.7,1.9,0.03,10,767.0,3963.0,20.28,30.0,6,14.0,3.0,6,14.0
40,260,9,0,1,0,226,0,0,1,16,1,7,14,9,300,12,729.84,60.82,0.2,11,39.0,790.71,0.75,5.0,2,14.0,5.0,2,14.0
4,0,4,1,3,0,1,0,1,16,5,5,0,4,1,30,26710,259621.2,9.72,0.32,25,1866.0,6111.2,508.86,14.0,5,9.0,14.0,5,9.0
22,470,3,1,3,2,231,0,1,16,55,28,0,33,7,30,1161,6431.94,5.54,0.18,40,2566.0,16532.5,9.02,2.0,1,12.0,24.0,5,12.0
29,548,4,1,3,1,283,0,0,16,77,16,0,38,11,60,20000,75000.0,3.75,0.06,4,1041.0,5156.93,77.1,30.0,10,14.0,16.0,9,14.0
23,1,0,0,0,0,2,0,1,9,21,17,0,3,1,60,771,9444.75,12.25,0.2,12,136.0,678.96,11.68,25.0,6,13.0,25.0,6,13.0
30,321,7,0,1,0,272,0,1,1,1,1,1,1,1,120,480,17356.8,36.16,0.3,1,127.0,1400.91,37.42,24.0,9,10.0,24.0,8,10.0
25,567,11,1,3,1,418,0,1,16,14,13,0,12,7,60,71377,471088.2,6.6,0.11,12,6842.0,8689.22,484.28,16.0,9,15.0,30.0,8,15.0
62,282,13,0,0,0,244,0,1,4,59,29,0,35,7,30,41700,587970.0,14.1,0.47,4,4900.0,29478.42,970.15,16.0,2,11.0,16.0,2,11.0
30,137,7,0,0,3,128,0,1,11,5,5,0,4,1,30,71348,227600.12,3.19,0.11,15,4334.0,8144.11,281.54,8.0,2,13.0,8.0,2,13.0
34,514,12,1,3,1,387,0,1,16,23,0,0,20,1,60,38929,87979.54,2.26,0.04,12,2462.0,16295.56,108.83,25.0,4,13.0,1.0,7,13.0
3,0,3,1,3,0,0,0,1,16,14,13,0,12,7,60,1116,10434.6,9.35,0.16,0,102.0,3680.33,20.45,16.0,7,9.0,16.0,10,9.0
29,152,4,0,1,0,140,0,1,1,58,15,8,17,1,60,760,5206.0,6.85,0.11,1,99.0,1462.71,7.3,3.0,5,12.0,3.0,5,12.0
18,0,13,1,3,0,0,0,1,16,5,5,0,4,1,30,2345,16063.25,6.85,0.23,4,239.0,2393.34,31.48,20.0,10,9.0,20.0,9,9.0
26,8,14,0,4,0,8,0,0,0,72,8,0,0,9,240,11640,34920.0,3.0,0.01,0,4440.0,3283.59,75.29,14.0,5,10.0,24.0,1,10.0
45,138,10,0,1,0,129,0,0,1,16,1,7,14,9,300,846,26073.72,30.82,0.1,11,798.0,9299.26,36.56,25.0,8,13.0,25.0,7,13.0
0,0,0,0,2,0,0,0,0,5,6,6,3,5,3,60,800,5600.0,7.0,0.12,5,161.0,2514.05,8.96,8.0,2,7.0,8.0,2,7.0
26,111,14,0,4,3,105,0,0,15,30,17,10,24,9,240,20000,185600.0,9.28,0.04,18,7664.0,8301.76,306.24,2.0,11,11.0,2.0,11,11.0
30,428,7,1,3,1,335,0,1,16,20,16,0,18,7,60,69202,776446.44,11.22,0.19,0,9299.0,54009.25,1674.02,7.0,7,11.0,14.0,3,11.0
69,575,27,1,3,0,281,0,1,16,59,29,0,35,7,30,3240,33210.0,10.25,0.34,28,614.0,4373.84,34.14,20.0,2,14.0,20.0,2,14.0
29,553,4,1,3,1,393,0,0,16,66,0,0,0,0,240,2000,3900.0,1.95,0.01,0,736.0,4747.87,4.82,3.0,11,13.0,10.0,11,13.0
27,81,6,0,2,0,77,0,1,24,5,5,0,4,1,30,59609,357057.91,5.99,0.2,25,4227.0,33008.05,699.83,29.0,10,10.0,29.0,9,10.0
33,69,2,0,0,0,66,0,1,0,20,16,0,18,7,60,7255,58983.15,8.13,0.14,0,917.0,4676.61,72.96,24.0,6,13.0,27.0,6,13.0
33,457,2,1,3,1,354,0,1,16,71,11,0,10,7,30,131280,2196314.4,16.73,0.56,4,15032.0,3279.25,3623.92,30.0,8,12.0,11.0,7,12.0
24,13,5,0,0,3,13,0,1,8,5,5,0,4,1,30,21203,68697.72,3.24,0.11,10,2471.0,4532.44,70.62,25.0,10,15.0,25.0,9,15.0
30,503,7,1,3,0,169,0,1,16,20,16,0,18,7,60,39792,356934.24,8.97,0.15,0,4658.0,41595.5,441.53,22.0,7,13.0,28.0,10,13.0
0,0,0,0,0,0,0,0,1,4,7,3,0,3,1,30,2016,27538.56,13.66,0.46,4,122.0,2864.44,44.06,1.0,4,8.0,22.0,9,8.0
46,101,19,0,0,0,96,0,1,0,20,16,0,18,7,60,29107,238677.4,8.2,0.14,0,3647.0,18545.17,245.36,10.0,2,14.0,10.0,2,14.0
23,113,0,0,0,0,107,0,1,4,5,5,0,4,1,30,48235,207410.5,4.3,0.14,4,3919.0,11372.45,447.18,9.0,2,10.0,9.0,2,10.0
8,0,3,1,3,0,0,0,1,16,20,16,0,18,7,60,164,2177.92,13.28,0.22,0,2095.0,10098.25,3.48,14.0,10,8.0,14.0,9,8.0
27,534,6,1,3,1,401,0,1,16,55,28,0,33,7,30,53705,249191.2,4.64,0.15,12,5565.0,34837.8,308.25,27.0,4,14.0,6.0,5,14.0
34,746,12,1,3,0,514,0,1,16,54,25,0,32,7,30,18216,110571.12,6.07,0.2,4,1500.0,7513.5,136.78,28.0,4,13.0,14.0,9,13.0
33,542,2,1,3,1,127,0,1,16,59,29,0,35,7,30,151208,1590708.16,10.52,0.35,12,20501.0,13765.17,1967.71,1.0,4,14.0,5.0,4,14.0
9,0,7,1,3,0,0,0,1,16,20,16,0,18,7,60,14600,172280.0,11.8,0.2,0,1657.0,9995.55,337.67,19.0,7,9.0,19.0,10,9.0
33,331,2,0,1,0,279,0,1,1,1,1,1,1,1,120,9007,325693.12,36.16,0.3,1,2020.0,9169.63,702.19,28.0,5,10.0,28.0,5,10.0
24,13,5,0,0,3,13,0,1,4,59,29,0,35,7,30,25000,256000.0,10.24,0.34,4,3034.0,7658.27,263.17,13.0,9,15.0,13.0,8,15.0
33,522,2,1,3,1,396,0,0,16,56,14,0,34,11,60,12917,29709.1,2.3,0.04,10,2461.0,3592.8,36.75,23.0,1,13.0,14.0,9,13.0
7,0,6,1,3,0,0,0,0,16,16,1,7,14,9,300,50,2055.0,41.1,0.14,11,50.0,661.06,3.29,26.0,5,7.0,26.0,5,7.0
3,0,3,1,3,0,0,0,1,16,43,25,11,29,7,30,139,3648.75,26.25,0.88,14,192.0,13538.35,7.15,19.0,3,9.0,19.0,3,9.0
29,499,4,1,3,1,381,0,0,16,77,16,0,38,11,60,7600,29564.0,3.89,0.06,4,415.0,2751.09,41.45,30.0,6,13.0,28.0,1,13.0
9,0,7,1,3,0,0,0,1,16,20,16,0,18,7,60,1650,22275.0,13.5,0.22,0,197.0,1637.0,35.64,10.0,11,7.0,10.0,11,7.0
23,84,0,0,0,0,80,0,1,4,21,17,0,3,1,60,100,1750.0,17.5,0.29,4,2128.0,7784.92,3.77,29.0,9,10.0,29.0,8,10.0
26,38,14,0,4,3,38,0,1,11,9,8,0,7,1,60,185954,459306.38,2.47,0.04,15,9019.0,13677.68,990.26,14.0,7,11.0,11.0,10,11.0
33,644,2,1,3,1,251,0,0,16,82,14,0,41,11,60,10727,46126.1,4.3,0.07,10,945.0,7579.6,64.67,28.0,7,13.0,18.0,10,13.0
33,686,2,1,3,0,279,0,1,16,23,0,0,20,1,60,3319,9060.87,2.73,0.05,0,699.0,3952.34,19.54,21.0,5,10.0,21.0,7,10.0
1,0,1,1,3,0,0,0,1,16,23,0,0,20,1,60,12745,43333.0,3.4,0.06,0,1197.0,8332.0,69.33,20.0,11,7.0,25.0,11,7.0
22,449,3,1,3,2,30,0,1,16,23,0,0,20,1,60,51355,125819.75,2.45,0.04,0,6436.0,25231.96,207.6,2.0,9,12.0,16.0,10,12.0
30,677,7,1,3,0,475,0,1,16,15,14,0,13,7,60,1760,12320.0,7.0,0.12,15,133.0,2450.89,24.15,30.0,2,9.0,25.0,2,9.0
30,581,7,1,3,1,427,0,1,16,59,29,0,35,7,30,29247,315282.66,10.78,0.36,28,5324.0,8248.28,324.11,16.0,7,15.0,24.0,3,15.0
33,25,2,0,1,0,25,0,0,1,18,1,0,16,1,60,1764,10478.16,5.94,0.1,1,209.0,2177.56,12.96,31.0,11,13.0,31.0,11,13.0
23,54,0,0,0,0,53,0,1,4,4,4,0,3,1,60,1680,12600.0,7.5,0.12,4,389.0,9674.88,24.7,22.0,9,10.0,22.0,8,10.0
29,381,4,1,3,0,310,0,0,16,37,5,0,15,2,30,3444,7714.56,2.24,0.07,0,200.0,1211.48,15.12,1.0,11,9.0,2.0,11,9.0
33,554,2,1,3,1,409,0,1,16,1,1,1,1,1,120,14758,278926.2,18.9,0.16,1,3030.0,2994.62,345.03,30.0,4,14.0,24.0,4,14.0
30,399,7,1,3,0,319,0,1,16,14,13,0,12,7,60,1600,14016.0,8.76,0.15,12,13.0,1758.6,30.22,2.0,4,10.0,22.0,7,10.0
29,160,4,0,1,3,146,0,1,1,1,1,1,1,1,120,20580,634275.6,30.82,0.26,1,5139.0,40289.0,1046.55,23.0,9,12.0,23.0,8,12.0
45,724,10,1,3,1,426,0,0,16,64,13,0,36,11,60,15000,29850.0,1.99,0.03,10,1037.0,891.65,30.69,24.0,2,14.0,30.0,0,14.0
23,4,0,0,0,0,5,0,1,0,23,0,0,20,1,60,7400,16650.0,2.25,0.04,0,730.0,1338.19,17.12,7.0,4,14.0,7.0,4,14.0
25,609,11,1,3,1,122,0,0,16,61,4,0,0,9,240,2823,5928.3,2.1,0.01,0,1098.0,3567.53,9.78,31.0,9,11.0,30.0,8,11.0
0,0,0,0,0,0,0,0,1,4,7,3,0,3,1,30,5040,62294.4,12.36,0.41,4,301.0,4883.46,99.67,19.0,6,8.0,19.0,6,8.0
26,5,14,0,4,3,6,0,1,0,4,4,0,3,1,60,90171,658248.3,7.3,0.12,0,4670.0,3341.45,1086.11,22.0,2,11.0,22.0,2,11.0
22,489,3,1,3,0,377,0,1,16,55,28,0,33,7,30,41514,222515.04,5.36,0.18,40,4052.0,15459.09,311.97,6.0,2,12.0,6.0,2,12.0
0,0,0,0,0,0,0,0,1,0,26,6,0,21,10,30,150,1950.0,13.0,0.43,0,30.0,4111.71,3.82,8.0,4,9.0,8.0,4,9.0
0,0,0,0,0,0,0,0,1,4,4,4,0,3,1,60,336,2520.0,7.5,0.12,4,18.0,2525.73,4.94,11.0,8,9.0,11.0,7,9.0
68,770,25,1,3,0,527,0,1,16,9,8,0,7,1,60,270,537.3,1.99,0.03,12,15.0,735.24,0.66,28.0,4,13.0,17.0,9,13.0
6,0,5,1,3,0,0,0,0,16,47,5,0,20,2,90,210,3360.0,16.0,0.18,0,26.0,997.46,5.38,11.0,1,8.0,11.0,1,8.0
29,258,4,0,2,0,84,0,0,7,53,5,13,31,9,180,3559,60360.64,16.96,0.09,8,1061.0,2454.99,118.31,16.0,8,10.0,16.0,7,10.0
15,0,12,1,3,1,0,0,1,16,23,0,0,20,1,60,50000,170000.0,3.4,0.06,12,2809.0,3629.37,333.2,1.0,11,8.0,1.0,11,8.0
26,5,14,0,4,3,6,0,1,8,23,0,0,20,1,60,82075,223244.0,2.72,0.05,10,8969.0,7175.27,368.35,31.0,3,12.0,31.0,3,12.0
46,183,19,0,0,0,168,0,1,4,14,13,0,12,7,60,25687,166708.63,6.49,0.11,4,2184.0,15041.23,171.38,21.0,2,14.0,21.0,2,14.0
30,581,7,1,3,1,427,0,1,16,55,28,0,33,7,30,14420,66764.6,4.63,0.15,40,1467.0,1319.21,68.63,2.0,7,15.0,24.0,3,15.0
22,412,3,1,3,2,175,0,1,16,23,0,0,20,1,60,350,903.0,2.58,0.04,0,40.0,20264.93,1.95,16.0,2,10.0,10.0,2,10.0
22,458,3,1,3,2,355,0,1,16,14,13,0,12,7,60,74288,577960.64,7.78,0.13,0,7351.0,21347.12,810.3,10.0,5,12.0,10.0,5,12.0
30,167,7,0,6,0,152,0,1,10,60,30,15,17,1,120,178,6408.0,36.0,0.3,27,90.0,989.0,7.93,13.0,7,13.0,13.0,10,13.0
0,0,0,0,0,0,0,0,1,3,4,4,0,3,1,60,100,894.0,8.94,0.15,3,6.0,2794.34,1.43,24.0,0,7.0,24.0,0,7.0
24,13,5,0,1,0,13,0,1,26,95,37,19,4,1,60,111,5994.0,54.0,0.9,27,42.0,926.3,6.16,10.0,11,14.0,10.0,11,14.0
23,264,0,0,0,0,229,0,1,9,14,13,0,12,7,60,10249,84041.8,8.2,0.14,12,5495.0,23372.43,138.67,26.0,6,11.0,26.0,6,11.0
29,543,4,1,3,1,97,0,1,16,9,8,0,7,1,60,1700,3791.0,2.23,0.04,15,75.0,1556.99,4.69,28.0,2,13.0,2.0,11,13.0
23,15,0,0,0,0,15,0,1,4,20,16,0,18,7,60,13000,105300.0,8.1,0.13,4,2672.0,2504.64,108.25,5.0,7,15.0,5.0,10,15.0
0,0,0,0,0,0,0,0,0,0,35,6,0,17,3,60,1200,9300.0,7.75,0.13,0,249.0,3719.91,14.88,19.0,11,7.0,19.0,11,7.0
28,12,15,0,0,3,12,0,1,4,59,29,0,35,7,30,6200,71238.0,11.49,0.38,4,701.0,3548.81,88.12,21.0,4,13.0,21.0,4,13.0
29,182,4,0,0,0,167,0,1,4,78,35,0,39,1,30,1400,31500.0,22.5,0.75,4,364.0,4171.65,44.16,21.0,9,13.0,21.0,8,13.0
27,611,6,1,3,0,195,0,0,16,99,17,0,24,9,240,1965,26920.5,13.7,0.06,0,724.0,4520.04,44.42,18.0,9,11.0,13.0,8,11.0
25,448,11,1,3,1,349,0,0,16,61,4,0,0,9,240,2350,4935.0,2.1,0.01,0,904.0,573.43,8.14,30.0,2,11.0,14.0,11,11.0
29,102,4,0,0,0,97,0,1,4,78,35,0,39,1,30,2100,42000.0,20.0,0.67,4,293.0,3316.79,51.95,30.0,4,14.0,30.0,4,14.0
34,452,12,1,3,1,351,0,1,16,14,13,0,12,7,60,73692,608695.92,8.26,0.14,28,21879.0,8647.16,1004.35,29.0,6,11.0,29.0,1,11.0
24,265,5,0,0,0,90,0,1,0,75,6,0,6,10,30,240,4800.0,20.0,0.67,0,19.0,971.7,5.94,11.0,9,13.0,11.0,8,13.0
15,0,12,1,3,0,0,0,1,16,4,4,0,3,1,60,10000,79000.0,7.9,0.13,0,581.0,3238.0,154.84,2.0,9,9.0,2.0,8,9.0
27,582,6,1,3,1,288,0,1,16,20,16,0,18,7,60,14011,113629.21,8.11,0.14,4,1755.0,4328.9,116.81,30.0,3,15.0,14.0,3,15.0
30,375,7,0,0,0,251,0,1,4,78,35,0,39,1,30,170,3825.0,22.5,0.75,4,22.0,1051.5,5.36,9.0,2,12.0,9.0,2,12.0
24,443,5,1,3,0,345,0,0,16,61,4,0,0,9,240,8768,18412.8,2.1,0.01,0,10030.0,96669.4,30.38,19.0,5,11.0,11.0,1,11.0
33,25,2,0,0,0,25,0,0,0,37,5,0,15,2,30,3550,5538.0,1.56,0.05,0,255.0,2454.46,6.85,13.0,2,13.0,13.0,2,13.0
22,174,3,0,0,0,159,0,0,8,91,17,0,44,3,60,7325,36625.0,5.0,0.08,37,455.0,4967.03,45.31,11.0,7,14.0,11.0,10,14.0
64,559,12,1,3,1,412,0,1,16,21,17,0,3,1,60,5432,61001.36,11.23,0.19,4,506.0,635.95,62.71,31.0,5,14.0,23.0,6,14.0
6,0,5,1,3,0,0,0,0,16,40,17,0,24,9,240,160,2640.0,16.5,0.07,0,938.0,11340.2,4.22,21.0,9,8.0,21.0,8,8.0
31,463,10,1,3,1,359,0,1,16,14,13,0,12,7,60,3345,26024.1,7.78,0.13,4,7095.0,5530.11,42.94,14.0,1,12.0,27.0,4,12.0
23,212,0,0,0,0,189,0,1,11,5,5,0,4,1,30,18854,77301.4,4.1,0.14,15,1146.0,5977.2,127.55,29.0,9,12.0,29.0,8,12.0
30,236,7,0,0,0,207,0,0,0,92,1,0,16,1,60,2335,18773.4,8.04,0.13,0,237.0,1488.99,22.1,8.0,8,15.0,8.0,7,15.0
29,427,4,1,3,0,334,0,0,16,47,5,0,20,2,90,20,194.2,9.71,0.11,0,5.0,3380.36,0.42,31.0,9,11.0,7.0,4,11.0
32,453,16,1,3,0,352,0,1,16,23,0,0,20,1,60,16,41.28,2.58,0.04,15,42.0,456.18,0.06,16.0,9,12.0,14.0,10,12.0
23,86,0,0,1,0,82,0,1,1,62,15,8,17,1,30,319,7419.94,23.26,0.78,1,1736.0,5265.22,9.18,8.0,3,14.0,8.0,3,14.0
73,630,23,1,3,0,450,0,1,16,55,28,0,33,7,30,847,4692.38,5.54,0.18,28,85.0,1857.04,6.58,21.0,10,12.0,9.0,9,12.0
50,173,20,0,0,0,158,0,1,9,55,28,0,33,7,30,6678,30051.0,4.5,0.15,12,734.0,3710.65,35.37,23.0,8,15.0,23.0,7,15.0
41,58,18,0,0,0,57,0,1,0,55,28,0,33,7,30,32426,150780.9,4.65,0.16,28,3234.0,26980.59,186.52,7.0,2,13.0,7.0,2,13.0
27,225,6,0,0,0,200,0,1,0,23,0,0,20,1,60,22500,52875.0,2.35,0.04,0,2145.0,17858.68,74.13,29.0,4,12.0,29.0,4,12.0
22,171,3,0,1,0,156,0,1,14,79,19,9,40,1,120,430,40713.32,94.68,0.79,17,77.0,729.03,87.78,21.0,4,10.0,21.0,4,10.0
40,781,9,1,3,0,526,0,0,16,72,8,0,0,9,240,230,425.5,1.85,0.01,0,83.0,1075.62,0.6,10.0,5,12.0,13.0,4,12.0
15,0,12,1,3,0,0,0,1,16,5,5,0,4,1,30,66667,828004.14,12.42,0.41,4,5253.0,18856.33,1324.81,12.0,7,8.0,12.0,10,8.0
55,420,23,1,3,0,278,0,1,16,21,17,0,3,1,60,3073,48829.97,15.89,0.26,4,594.0,4996.2,80.57,30.0,2,10.0,14.0,11,10.0
0,0,0,0,2,0,0,0,0,5,6,6,3,5,3,60,400,2800.0,7.0,0.12,5,81.0,2211.05,4.48,12.0,5,8.0,12.0,5,8.0
25,32,11,0,0,0,32,0,1,0,26,6,0,21,10,30,800,6064.0,7.58,0.25,0,77.0,979.14,6.23,9.0,8,14.0,9.0,7,14.0
6,0,5,1,3,0,0,0,0,16,46,4,0,0,9,240,10000,21000.0,2.1,0.01,0,3720.0,43704.8,41.16,17.0,2,8.0,17.0,2,8.0
70,689,7,1,3,0,484,0,1,16,15,14,0,13,7,60,1193,6835.89,5.73,0.1,10,144.0,1413.56,14.74,20.0,0,10.0,26.0,0,10.0
29,499,4,1,3,1,381,0,1,16,55,28,0,33,7,30,8000,37600.0,4.7,0.16,12,315.0,10807.98,52.72,15.0,1,13.0,14.0,1,13.0
24,392,5,1,3,0,254,0,0,16,0,0,0,0,0,240,3635,6979.2,1.92,0.01,0,1345.0,14489.1,15.05,18.0,3,10.0,27.0,3,10.0
34,454,12,1,3,1,348,0,1,16,5,5,0,4,1,30,230000,970600.0,4.22,0.14,4,18968.0,22168.18,1601.49,24.0,3,12.0,28.0,2,11.0
26,57,14,0,4,0,56,0,1,0,7,3,0,3,1,30,59681,412395.71,6.91,0.23,0,5200.0,5953.37,889.13,25.0,2,10.0,8.0,11,10.0
34,650,12,1,3,1,458,0,1,16,71,11,0,10,7,30,249965,3239546.4,12.96,0.43,4,28182.0,17650.15,4541.84,31.0,10,13.0,28.0,9,13.0
24,333,5,0,0,0,40,0,1,4,59,29,0,35,7,30,5500,77550.0,14.1,0.47,4,647.0,4877.34,108.73,22.0,11,11.0,22.0,11,11.0
45,138,10,0,1,0,129,0,0,1,16,1,7,14,9,300,1500,46230.0,30.82,0.1,11,1374.0,15593.13,64.81,8.0,2,12.0,8.0,2,12.0
26,8,14,0,4,0,8,0,1,0,5,5,0,4,1,30,56970,266049.9,4.67,0.16,0,4822.0,5886.9,573.6,24.0,1,10.0,24.0,1,10.0
25,535,11,1,3,1,402,0,1,16,20,16,0,18,7,60,164250,1409265.0,8.58,0.14,15,19164.0,14509.09,1743.26,28.0,7,14.0,19.0,10,14.0
26,8,14,0,4,0,8,0,1,0,9,8,0,7,1,60,16999,43007.47,2.53,0.04,0,912.0,1791.42,92.72,24.0,1,10.0,20.0,6,10.0
23,86,0,0,0,0,82,0,1,0,21,17,0,3,1,60,591,6737.4,11.4,0.19,0,36.0,430.5,8.33,16.0,11,13.0,16.0,11,13.0
14,0,11,1,3,0,0,0,1,16,41,18,0,27,7,30,52240,104480.0,2.0,0.07,10,4230.0,8771.34,167.17,8.0,8,8.0,5.0,7,8.0
30,672,7,1,3,0,471,0,1,16,23,0,0,20,1,60,74896,163273.28,2.18,0.04,0,7183.0,41735.0,192.17,17.0,7,15.0,9.0,10,15.0
25,512,11,1,3,1,391,0,1,16,5,5,0,4,1,30,40250,134032.5,3.33,0.11,31,4223.0,4044.33,165.8,27.0,6,13.0,27.0,6,13.0
